seconds,data
0.0,718806
0.001,720380
0.002,721229
0.002,720802
0.104,720085
0.213,720468
0.334,727075
0.404,744175
0.523,775259
0.634,813773
0.703,854532
0.824,895821
0.933,933076
1.004,968664
1.123,1043165
1.243,1079846
1.353,1116437
1.423,1150353
1.543,1178629
1.654,1200956
1.724,1220856
1.843,1231318
1.964,1233338
2.033,1243080
2.143,1242967
2.264,1230248
2.373,1206525
2.444,1171793
2.563,1135014
2.684,1077919
2.744,1053998
2.864,1029131
2.984,1005410
3.054,984745
3.164,965927
3.284,949246
3.404,934455
3.464,902168
3.583,893394
3.704,884533
3.774,873398
3.884,860875
4.005,846054
4.054,829347
4.184,790106
4.305,769399
4.424,753452
4.494,740479
4.604,729403
4.724,717970
4.773,706143
4.904,696903
5.024,729248
5.074,765080
5.215,799302
5.323,831183
5.444,862322
5.554,896101
5.623,930178
5.744,961146
5.794,1017804
5.933,1044827
6.044,1073512
6.094,1100125
6.233,1122129
6.394,1144663
6.463,1164594
6.513,1188697
6.654,1191729
6.764,1187608
6.814,1173865
6.953,1157022
7.063,1143293
7.114,1127834
7.234,1108946
7.373,1070328
7.483,1051300
7.534,1032730
7.673,1012848
7.784,992062
7.833,973225
7.954,953885
8.133,911988
8.134,881489
8.254,851774
8.393,827516
8.503,807055
8.554,789726
8.674,774920
8.813,761597
8.853,739979
8.974,730142
9.115,730582
9.155,736047
9.275,733422
9.393,750068
9.533,771210
9.643,780199
9.694,782986
9.834,776944
9.904,769084
9.993,791180
10.183,832750
10.184,878048
10.294,921768
10.413,994118
10.554,1030142
10.594,1064446
10.714,1093563
10.834,1120392
10.904,1146678
11.084,1172660
11.133,1192730
11.204,1225885
11.313,1236625
11.434,1246650
11.554,1251323
11.614,1240380
11.733,1220956
11.854,1195903
11.923,1167224
12.034,1116168
12.153,1089736
12.223,1066054
12.333,1047239
12.454,1029504
12.573,1015993
12.643,1010045
12.754,981752
12.873,963424
12.943,938471
13.053,907826
13.174,879071
13.243,860948
13.363,850073
13.474,843826
13.594,822598
13.664,812661
13.773,807885
13.894,804061
13.963,799102
14.083,796508
14.194,799056
14.263,803230
14.384,858488
14.493,921921
14.613,988819
14.685,1041574
14.804,1084471
14.915,1124657
14.984,1162047
15.105,1217337
15.215,1233389
15.283,1250818
15.404,1267348
15.524,1283664
15.634,1297173
15.704,1312348
15.824,1331060
15.933,1357339
16.004,1360165
16.124,1362034
16.244,1360170
16.314,1358165
16.423,1356384
16.544,1344725
16.654,1324566
16.723,1275826
16.844,1251881
16.964,1230096
17.033,1206023
17.144,1186415
17.263,1172880
17.334,1155331
17.443,1082807
17.564,1057196
17.683,1035492
17.754,1012454
17.863,988543
18.054,965913
18.055,939498
18.163,915051
18.283,873869
18.333,853096
18.464,835461
18.584,822381
18.704,812468
18.774,804319
18.883,799996
19.003,801154
19.054,802429
19.183,808282
19.303,817083
19.353,830130
19.494,855423
19.603,889249
19.724,925497
19.774,993676
19.904,1022592
20.023,1048937
20.143,1074859
20.213,1098965
20.323,1120669
20.374,1138062
20.514,1156961
20.623,1216882
20.744,1246394
20.794,1268557
20.933,1287224
21.044,1301639
21.093,1309563
21.233,1313998
21.344,1319880
21.394,1327987
21.514,1331784
21.653,1329317
21.764,1323191
21.814,1308208
21.953,1279880
22.063,1252564
22.114,1216472
22.234,1203834
22.374,1185391
22.414,1168102
22.533,1156315
22.673,1146628
22.783,1133396
22.834,1115258
22.954,1071897
23.093,1049727
23.133,1030046
23.253,1008131
23.394,979553
23.433,949213
23.623,920689
23.673,875715
23.813,861924
23.853,851417
23.974,843470
24.114,842644
24.153,844407
24.273,836975
24.393,830211
24.464,825047
24.574,831810
24.694,850672
24.834,877943
24.874,906823
24.993,932344
25.113,953399
25.184,974768
25.294,1019007
25.414,1037342
25.483,1057367
25.594,1080960
25.713,1101918
25.834,1120372
25.903,1140784
26.013,1177411
26.134,1192849
26.273,1204585
26.313,1213669
26.434,1219001
26.504,1227330
26.683,1237692
26.733,1249094
26.854,1272080
26.923,1275389
27.033,1275375
27.153,1276940
27.223,1285293
27.333,1297866
27.453,1309700
27.524,1315041
27.644,1294859
27.753,1266581
27.873,1244508
27.943,1225986
28.054,1207474
28.174,1190316
28.244,1171866
28.363,1132848
28.473,1113607
28.543,1103997
28.663,1107925
28.774,1099877
28.894,1094269
28.964,1091785
29.084,1086923
29.194,1073305
29.264,1057826
29.384,1040906
29.494,1024592
29.564,1009478
29.683,992036
29.804,972085
29.914,935096
29.983,921396
30.103,910519
30.215,901184
30.284,890552
30.403,881183
30.523,877179
30.593,894427
30.704,972601
30.824,1006976
30.933,1034645
31.004,1056210
31.123,1062237
31.243,1046950
31.314,1024164
31.425,1011255
31.544,1021779
31.614,1052182
31.725,1076335
31.844,1096722
31.964,1118329
32.034,1148541
32.144,1182476
32.264,1221498
32.334,1231659
32.443,1242985
32.563,1254668
32.613,1264423
32.754,1271549
32.863,1279551
32.984,1283856
33.053,1277274
33.163,1274088
33.284,1262502
33.334,1242585
33.463,1215596
33.584,1189977
33.634,1165911
33.773,1143817
33.883,1110147
34.003,1094936
34.053,1077636
34.183,1061686
34.303,1048295
34.353,1034061
34.493,1018250
34.603,988741
34.654,970902
34.774,948832
34.904,926986
35.024,908877
35.074,895196
35.214,885212
35.323,874408
35.374,848277
35.493,837738
35.625,829141
35.675,822021
35.794,816338
35.933,812080
36.043,808423
36.094,804827
36.233,800653
36.344,801205
36.394,801010
36.513,800152
36.653,802529
36.723,824825
36.813,865212
36.953,944124
37.063,990212
37.113,1038978
37.233,1082779
37.373,1123520
37.414,1162660
37.533,1201895
37.674,1245702
37.713,1294161
37.833,1294110
37.954,1288994
38.093,1286417
38.134,1288172
38.253,1292252
38.393,1308823
38.433,1324886
38.553,1330276
38.674,1329213
38.744,1328289
38.853,1325982
38.973,1320798
39.114,1314299
39.154,1309274
39.273,1274470
39.394,1251904
39.464,1221621
39.574,1188766
39.694,1158940
39.764,1128265
39.873,1100482
39.994,1078519
40.113,1036698
40.183,1016809
40.293,1002557
40.483,989583
40.484,973093
40.594,956015
40.714,943036
40.783,917924
40.903,898723
41.084,882810
41.134,873235
41.204,864205
41.314,857461
41.433,853344
41.505,849254
41.625,837515
41.734,837731
41.804,861574
41.923,907647
42.033,955942
42.155,1000145
42.224,1042285
42.334,1092664
42.454,1197983
42.524,1235858
42.644,1269809
42.754,1301425
42.823,1355593
42.943,1420243
43.053,1446420
43.173,1456366
43.243,1465944
43.363,1454357
43.473,1433980
43.544,1420475
43.664,1396081
43.773,1364192
43.844,1332478
43.964,1269534
44.084,1243553
44.194,1220086
44.264,1198674
44.385,1172855
44.493,1143827
44.563,1117394
44.683,1098873
